coreid,mofid-v1,mofid-v2,LCD_(Å),PLD_(Å),LFPD_(Å),Density_(g/cm3),ASA_(A2),ASA_(m2/cm3),ASA_(m2/g),NASA_(A2),NASA_(m2/cm3),NASA_(m2/g),PV_(A3),VF,PV_(cm3/g),NAV_(A3),NPV_(cm3/g),structure_dimension,topology(SingleNodes),topology(AllNodes),catenation,dimension_by_topo,hall,number_spacegroup,Metal_Types,Has_OMS,OMS_Types,average_atomic_mass,Heat_capacity@300K_(J/g/K),Heat_capacity@350K_(J/g/K),Heat_capacity@400K_(J/g/K),natoms,Thermal_stability_(°C),Solvent_stability,Water_stability,KH_Classes,category
2020[V][nan]3[ASR]2,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V] MOFid-v1.unknown.cat0;ja0c06414_si_003_ASR_pacman,[V4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;ja0c06414_si_003_ASR_pacman,7.13593,6.99921,7.13593,1.11183,227.274,1646.5,1480.89,0.0,0.0,0.0,833.456,0.6038,0.543068,0.0,0.0,3,unknown,unknown,1,3,I 4bw 2bw,98,V,No,,12.83643667,0.857690584,0.942414199,1.044677344,72,538.2,0.6861769,0.637032967,weak,weak&stable
2020[V][nan]3[ASR]3,unknown,[V4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[OH0] MOFid-v2.UNKNOWN.cat0;ja0c06414_si_005_ASR_pacman,7.21436,7.01374,7.21436,1.13183,430.668,1595.01,1409.23,0.0,0.0,0.0,1628.16,0.603,0.532766,0.0,0.0,3,unknown,unknown,1,3,I 4bw 2bw,98,V,No,,13.53223059,0.844657884,0.937509786,1.016255177,136,533.6,0.527328,0.558461538,weak,weak&stable
2020[ZnCd][nan]3[ASR]1,[Cd].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;EKOKUN_ASR_pacman,[C6Cd1O12Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.ERROR.cat0;EKOKUN_ASR_pacman,9.04678,8.61939,8.86571,0.761327,1531.72,2101.32,2760.07,0.0,0.0,0.0,5165.24,0.7086,0.930743,0.0,0.0,3,unknown,unknown,1,3,"P 32 2""",154,"Zn,Cd",Yes,Zn,11.25232121,0.81804339,0.927624344,0.983965962,297,485.1,0.68136233,0.597104072,weak,weak&stable
2020[ZnFe][fsc]3[ASR]1,[O-]C(=O)c1ccc(cc1)c1c(Br)c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)[O-])Br)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat0;GUGWOX_ASR_pacman,unknown,11.85051,9.18554,11.85051,0.663075,879.151,2203.69,3323.44,0.0,0.0,0.0,3079.05,0.7718,1.16397,0.0,0.0,3,fsc,fsc,1,3,-P 2 2,47,"Zn,Fe",Yes,"Zn,Fe",11.97745744,0.798024264,0.891021439,0.958863321,133,378.3,0.27414608,0.67,weak,weak&stable
2020[Zn][fgl]3[ASR]1,[O-]C(=O)C(NC(=O)C1=CN=N[CH]1)C.[Zn] MOFid-v1.ggl.cat0;ja0c03853_si_002_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][Branch1][=N][N][C][=Branch1][C][=O][C][=C][N][=N][CH1][Ring1][Branch1][C] MOFid-v2.ggl.cat0;ja0c03853_si_002_ASR_pacman,8.61383,5.8044,8.61383,1.01045,498.943,2052.48,2031.24,0.0,0.0,0.0,1595.18,0.6562,0.649411,0.0,0.0,3,fgl,ggl,1,3,R 3,146,Zn,No,,11.73946571,0.854050651,0.954374603,1.030087559,126,333.9,0.81605166,0.693947773,weak,weak&stable
2020[Zn][fgl]3[ASR]2,O=C([C]1C=NN=C1)NCC(=O)[O-].[O-]C(=O)CNC(=O)C1=C[N]N=C1.[Zn] MOFid-v1.ggl.cat0;ja0c03853_si_003_ASR_pacman,[Zn1_Type-1].[O][=C][Branch1][Branch2][CH0][C][=N][N][=C][Ring1][Branch1][N][C][C][=Branch1][C][=O][O-1].[O-1][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][NH0][N][=C][Ring1][Branch1] MOFid-v2.ggl.cat0;ja0c03853_si_003_ASR_pacman,8.61802,7.72596,8.61802,1.00528,468.958,2035.03,2024.35,0.0,0.0,0.0,1542.12,0.6692,0.665685,0.0,0.0,3,fgl,ggl,1,3,"R 3 -2""c",161,Zn,No,,12.91678889,0.804662303,0.90333603,0.973073061,108,301.2,0.81094706,0.707281106,weak,weak&stable
2020[Zn][kag]3[ASR]1,NC1=N[N]N=N1.[O-]C(=O)c1ccc(o1)C(=O)[O-].[Zn][Zn] MOFid-v1.kag.cat0;YUMPEE_ASR_pacman,[C4O8Zn2_Type-1].[N][C][=N][NH0][N][=N][Ring1][Branch1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.kag.cat0;YUMPEE_ASR_pacman,10.90723,10.0552,10.90723,0.948218,734.358,1336.34,1409.32,167.287,304.42,321.044,3773.06,0.6866,0.724095,0.0,0.0,3,kag,kag,1,3,-P 6c 2c,194,Zn,Yes,Zn,14.52706222,0.77162421,0.867325285,0.909513033,216,325.6,0.83264244,0.528571429,weak,weak&stable
2020[Zn][nan]3[ASR]1,[CH]1C=NN=N1.[N]1C=CN=N1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[C]1N[N]C(=N1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1cc(cc(c1)c1[nH]nc(n1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.ERROR.cat1;am0c04538_si_002_ASR_pacman,[C16H12N18O8Zn5_Type-1].[CH1][C][=N][N][=N][Ring1][Branch1].[NH0][C][=C][N][=N][Ring1][Branch1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][CH0][N][NH0][C][=Branch1][Ring2][=N][Ring1][Branch1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring2][#Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][NH1][N][=C][Branch1][Ring2][N][=Ring1][Branch1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.ERROR.cat1;am0c04538_si_002_ASR_pacman,7.88337,5.26114,7.88337,1.11425,615.379,1829.44,1641.85,0.0,0.0,0.0,2109.75,0.6272,0.562888,0.0,0.0,3,unknown,unknown,2,3,-P 1,2,Zn,Yes,Zn,13.59647904,0.771197874,0.855541552,0.912379041,166,336.4,0.6270679,0.698709677,weak,weak&stable
2020[Zn][nan]3[ASR]10,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1CCCC1.[Zn] MOFid-v1.unknown.cat0;c9cc02439e2_2_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][N][C][C][C][C][Ring1][Branch1] MOFid-v2.UNKNOWN.cat0;c9cc02439e2_2_ASR_pacman,7.25206,5.23684,7.25206,1.49695,112.23,564.684,377.224,0.0,0.0,0.0,856.205,0.4308,0.287785,0.0,0.0,3,unknown,unknown,1,3,"-R 3 2""",166,Zn,Yes,Zn,10.2965531,0.892389502,0.978906595,1.034376845,174,347.6,0.8231964,0.51,weak,weak&stable
2020[Zn][nan]3[ASR]13,[O-]C(=O)C1=C[C]2C(=NN=N2)C=C1.[O-]C(=O)[C]1C=CC2=NN=NC2=C1.[O-]C(=O)c1ccc2=N[N]N=c2c1.[OH].[Zn] MOFid-v1.unknown.cat0;c9cc04446a2_4_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][CH0][C][=Branch1][=Branch1][=N][N][=N][Ring1][Branch1][C][=C][Ring1][=Branch2].[O-1][C][=Branch1][C][=O][CH0][C][=C][C][=N][N][=N][C][Ring1][Branch1][=C][Ring1][=Branch2].[O-1][C][=Branch1][C][=O][C][C][=C][C][=N][NH0][N][=C][Ring1][Branch1][C][=Ring1][=Branch2].[OH1] MOFid-v2.UNKNOWN.cat0;c9cc04446a2_4_ASR_pacman,6.82151,5.80512,6.80153,1.46035,349.473,1390.88,952.428,0.0,0.0,0.0,1361.84,0.542,0.371145,0.0,0.0,3,unknown,unknown,1,3,-C 2yc,15,Zn,No,,14.9294573,0.731828861,0.833883242,0.875423466,148,486.5,0.91067713,0.598241135,weak,weak&stable
