coreid,mofid-v1,mofid-v2,LCD_(Å),PLD_(Å),LFPD_(Å),Density_(g/cm3),ASA_(A2),ASA_(m2/cm3),ASA_(m2/g),NASA_(A2),NASA_(m2/cm3),NASA_(m2/g),PV_(A3),VF,PV_(cm3/g),NAV_(A3),NPV_(cm3/g),structure_dimension,topology(SingleNodes),topology(AllNodes),catenation,dimension_by_topo,hall,number_spacegroup,Metal_Types,Has_OMS,OMS_Types,average_atomic_mass,Heat_capacity@300K_(J/g/K),Heat_capacity@350K_(J/g/K),Heat_capacity@400K_(J/g/K),natoms,Thermal_stability_(°C),Solvent_stability,Water_stability,KH_Classes,category
2017[IrHf][she]3[ASR]1,[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Ir]24(n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])(Cl)Cl.[O]12[Hf]34[O]5[Hf]62[O]2[Hf]71[O]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[O]43 MOFid-v1.she.cat0;AVILEY_ASR_pacman,unknown,25.4247,10.7501,25.4247,0.654077,4523.3,1607.61,2457.84,0.0,0.0,0.0,23550.5,0.837,1.27967,0.0,0.0,3,she,sqc13549,1,3,-I 4 2 3,229,"Ir,Hf",Yes,Hf,19.17445633,0.517254352,0.577054773,0.623671349,578,396,0.88084745,0.8,strong,strong&stable
2017[La][nan]3[ASR]4,[La].[O-]C(=O)CN1[CH]C(=CC(=C1)C(=O)[O-])C(=O)[O-].[OH2][La]([OH2])[OH2].[OH4][La]([OH4])[OH4] MOFid-v1.unknown.cat0;TEJYIT_ASR_pacman,[C12H12La3O30_Type-1].[C6H12La1O15_Type-1].[O-1][C][=Branch1][C][=O][C][N][CH1][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;TEJYIT_ASR_pacman,7.80612,5.40767,7.80612,1.52261,498.651,1108.36,727.935,0.0,0.0,0.0,2154.12,0.4788,0.314461,0.0,0.0,3,unknown,unknown,1,3,-P 3 2c,163,La,No,,12.65424319,0.80075209,0.87932878,0.922766999,326,293.6,0.4931707,0.63962963,strong,strong&stable
2017[Mn][nan]3[ASR]1,unknown,[Mn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][N][=N][C][Ring1][Branch1][=C][CH1][Ring1][=Branch2].[O-1][C][=Branch1][C][=O][C][=C][C][=N][N][=N][CH0][Ring1][Branch1][C][=C][Ring1][=Branch2].[O-1][C][=Branch1][C][=O][CH0][C][=C][C][=N][N][=N][C][Ring1][Branch1][=C][Ring1][=Branch2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][NH0][N][=N][Ring1][=Branch1].[O-1][C][=O] MOFid-v2.UNKNOWN.cat0;HAPGIR_ASR_pacman,6.12679,5.53694,6.11946,1.24903,428.775,1468.45,1175.67,0.0,0.0,0.0,1611.21,0.5518,0.441784,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,Mn,Yes,Mn,14.07882449,0.800946375,0.886949439,0.939845923,156,258.1,0.8179964,0.55,strong,strong&stable
2017[Mn][nan]3[ASR]8,Cc1c(cc(c2c1-c1c(OP(=O)(O2)[O])c(cc(c1C)c1ccc(cc1)C(=O)[O-])C(C)(C)C)C(C)(C)C)c1ccc(cc1)C(=O)[O-].[Mn] MOFid-v1.unknown.cat0;WERDAB_ASR_pacman,[C4Mn3O8_Type-1].[C][C][=C][Branch2][=Branch1][Ring2][C][=C][Branch2][Branch1][#Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][N][O][P][=Branch1][C][=O][Branch1][Ring2][O][Ring1][Branch2][OH0][C][=Branch2][Ring1][Branch2][=C][C][=Branch1][Branch1][=C][Ring1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;WERDAB_ASR_pacman,8.20997,5.805,7.87249,0.799443,2390.91,2032.14,2541.94,0.0,0.0,0.0,7492.26,0.6368,0.796555,0.0,0.0,3,unknown,unknown,1,3,C 2c 2,20,Mn,Yes,Mn,8.795418503,0.991647655,1.070570097,1.123073032,644,375.1,0.76119196,0.7,strong,strong&stable
2017[Mn][sql]2[ASR]1,[Mn][OH2][Mn].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.sql.cat0;c7ce01216k2_5_ASR_pacman,[C6H2Mn2O13_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.sql.cat0;c7ce01216k2_5_ASR_pacman,6.59676,5.16721,6.59676,1.02117,461.112,1670.92,1636.28,0.0,0.0,0.0,1560.84,0.5656,0.553875,0.0,0.0,2,sql,sql,1,3,-C 2y,12,Mn,Yes,Mn,10.22318229,0.92814665,1.032488825,1.085430826,166,375.4,0.62713265,0.686821429,superstrong_high_loading,strong&stable
2017[Mn][sql]2[ASR]2,[Mn]O[Mn].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.sql.cat0;c7ce01216k2_8_ASR_pacman,[C6Mn2O13_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.sql.cat0;c7ce01216k2_8_ASR_pacman,6.72323,5.2222,6.72323,1.00193,497.59,1773.34,1769.93,0.0,0.0,0.0,1538.78,0.5484,0.547345,0.0,0.0,2,sql,sql,1,3,-C 2y,12,Mn,Yes,Mn,10.45071914,0.927073092,1.027440155,1.084448641,162,381.7,0.9003182,0.68425,superstrong_high_loading,strong&stable
2017[Mn][sql]2[ASR]3,[Mn]O[Mn].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.sql.cat0;c7ce01216k2_9_ASR_pacman,[C6Mn2O13_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.sql.cat0;c7ce01216k2_9_ASR_pacman,6.63577,5.16378,6.63577,1.02111,466.681,1695.03,1659.99,0.0,0.0,0.0,1497.21,0.5438,0.532559,0.0,0.0,2,sql,sql,1,3,-C 2y,12,Mn,Yes,Mn,10.45071914,0.922706349,1.025964696,1.082056925,162,396.8,0.8964206,0.67425,superstrong_high_loading,strong&stable
2017[Nd][kgd]2[FSR]1,[O-]C(=O)c1cccc(c1)NC1=NC(=[N]=C([N]1)Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-].[O][Nd].[O][Nd]([O])[O] MOFid-v1.unknown.cat1;FENNAQ_FSR_pacman,,5.8675,5.11954,5.83825,1.10516,682.415,1721.25,1557.47,0.0,0.0,0.0,2284.43,0.5762,0.521375,0.0,0.0,2,kgd,kgd,2,2,-P 2n 2ab,60,Nd,No,,12.21580185,0.818767898,0.90357297,0.954841898,216,378.2,0.5590136,0.88,strong,strong&stable
2017[Ni][nan]3[ASR]1,"O=C(c1ccc(s1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Ni][OH2][Ni] MOFid-v1.nbo,tfb.cat0;c7sc04192f2_ASR_pacman","[C4H2Ni2O9_Type-1].[O][=C][Branch2][Ring2][Branch1][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.nbo,tfb.cat0;c7sc04192f2_ASR_pacman",11.74076,5.45981,11.74076,0.798725,6650.49,2116.37,2649.69,0.354695,0.112874,0.141318,22336.1,0.7108,0.889918,0.0,0.0,3,unstable,tfb,2,3,-I 2b 2c 3,206,Ni,Yes,Ni,12.5957856,0.836969065,0.926644688,0.985642937,1200,371.7,0.8818451,0.715,strong,strong&stable
2017[NiCo][qtz]3[ASR]1,unknown,unknown,15.0078,14.73657,15.0078,0.723045,1028.78,1525.25,2109.48,0.0,0.0,0.0,4836.16,0.717,0.991639,0.0,0.0,3,qtz,qtz,4,3,P 62 2c (0 0 1),180,"Ni,Co",Yes,Ni,11.51737735,0.85272695,0.962496701,1.026971419,255,286.3,0.8295809,0.67,strong,strong&stable
2017[NiCo][qtz]3[FSR]1,unknown,,13.29863,13.15284,13.29863,0.829487,983.336,1457.88,1757.56,0.0,0.0,0.0,4516.45,0.6696,0.807245,0.0,0.0,3,qtz,qtz,4,3,-P 2yb,11,"Ni,Co",No,,10.30366344,0.92440773,1.040563195,1.106871896,327,343.2,0.87696874,0.73,superstrong,strong&stable
2017[Pr][kgd]2[FSR]1,[O-]C(=O)c1cccc(c1)NC1=NC(=[N]=C([N]1)Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-].[O][Pr].[O][Pr]([O])[O] MOFid-v1.unknown.cat1;c7ra06320b2_FSR_pacman,,5.93371,5.24712,5.8485,1.09335,691.267,1733.71,1585.68,0.0,0.0,0.0,2305.41,0.5782,0.528833,0.0,0.0,2,kgd,kgd,2,2,-P 2a 2bc,52,Pr,No,,12.15405463,0.822782905,0.906989779,0.959914576,216,372.2,0.6185137,0.88,superstrong_high_loading,strong&stable
2017[Tm][nan]3[FSR]1,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[CH][CH]c1ccc(cc1)C(=O)[O-].[O][Tm].[O][Tm]([O])[O] MOFid-v1.ERROR.cat0;c6dt03755k2_1_FSR_pacman,,8.68037,6.71326,8.2219,0.875725,1321.3,2109.26,2408.59,0.0,0.0,0.0,4337.38,0.6924,0.790659,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,Tm,No,,12.90462836,0.731831517,0.800577724,0.838887525,256,499,0.26360583,0.68,strong_high_loading,strong&stable
2017[Tm][nan]3[FSR]2,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[CH][CH]c1ccc(cc1)C(=O)[O-].[O][Tm].[O][Tm]([O])[O] MOFid-v1.ERROR.cat0;DAMYOI_FSR_pacman,,8.68747,6.7126,8.20357,0.875725,1304.94,2083.15,2378.77,0.0,0.0,0.0,4338.63,0.6926,0.790888,0.0,0.0,3,unknown,unknown,1,3,P 2ac 2ab,19,Tm,No,,12.90462836,0.731858052,0.80056528,0.838885483,256,499.3,0.26442766,0.67,strong,strong&stable
2017[U][nan]3[FSR]2,[O-]C(=O)c1cc(cc(c1)P(=O)([O])[O])P(=O)([O])[O].[O][U]([O])([O])[O].[O][U][O] MOFid-v1.unknown.cat0;LAVZUG_FSR_pacman,,9.0427,5.13891,8.89364,1.69193,911.694,1663.36,983.116,0.0,0.0,0.0,3482.65,0.6354,0.375548,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,U,No,,27.37578075,0.495574703,0.538680663,0.569100606,204,397.2,0.34328842,0.65,strong_high_loading,strong&stable
2017[V][nan]3[ASR]2,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V] MOFid-v1.unknown.cat0;FAPXEC_ASR_pacman,[C4Cd2O8_Type-1].[N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.ERROR.cat0;FAPTOH_ASR_pacman,7.23545,7.06961,7.23545,1.1085,219.687,1586.76,1431.45,0.0,0.0,0.0,805.781,0.582,0.525036,0.0,0.0,3,unknown,unknown,1,3,-P 2 2ab,55,V,No,,12.83643667,0.860953342,0.943068592,1.055368596,72,538.3,0.68089175,0.647032967,strong,strong&stable
2017[V][nan]3[ASR]3,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O].[V] MOFid-v1.unknown.cat0;FAPXIG_ASR_pacman,[C4Cu2O8_Type-2].[N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.ERROR.cat0;FAPTUN_ASR_pacman,7.25755,7.08661,7.24834,1.12925,424.634,1569.08,1389.49,0.0,0.0,0.0,1602.65,0.5922,0.524421,0.0,0.0,3,unknown,unknown,1,3,-P 2 2ab,55,V,No,,13.53223059,0.828545645,0.907820816,0.979951832,136,535.4,0.52337706,0.548461538,strong,strong&stable
2017[V][nan]3[ASR]8,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V] MOFid-v1.unknown.cat0;FAQLUH_ASR_pacman,[V4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;FAQLER_ASR_pacman,7.25343,7.0917,7.25343,1.10687,220.024,1586.86,1433.65,0.0,0.0,0.0,807.796,0.5826,0.526348,0.0,0.0,3,unknown,unknown,1,3,I 4bw 2bw,98,V,No,,12.83643667,0.859870975,0.94252147,1.052503185,72,538.3,0.6793959,0.647032967,superstrong_high_loading,strong&stable
2017[Zn][hcb]2[ASR]5,unknown,unknown,7.13183,5.01853,7.13183,1.0053,230.816,1414.74,1407.28,0.0,0.0,0.0,920.172,0.564,0.561029,0.0,0.0,2,hcb,hcb,2,3,-P 1,2,Zn,Yes,Zn,9.496950385,0.904563766,1.001309042,1.043869851,104,388.6,0.7056409,0.57,strong,strong&stable
2017[Zn][mog]3[ASR]1,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)C1=C2C=CC3=[N]2[Zn]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccncc2)cc1)c1ccncc1)c1ccncc1 MOFid-v1.mog.cat1;XATZOK_ASR_pacman,[C2O4Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.mog.cat1;XATZOK_ASR_pacman,8.52599,5.82023,6.87843,0.788781,1016.32,2115.39,2681.84,0.0,0.0,0.0,3315.06,0.69,0.874767,0.0,0.0,3,mog,unknown,2,3,-P 1,2,Zn,Yes,Zn,10.66394467,0.848259954,0.958132023,1.016890263,214,374.8,0.19084153,0.645,strong,strong&stable
2017[Zn][nan]3[ASR]2,[O-]C(=O)c1ccc(cc1)n1nnc(c1)c1cc(cc(c1)c1nnn(c1)c1ccc(cc1)C(=O)[O-])c1nnn(c1)c1ccc(cc1)C(=O)[O-].[Zn].[Zn]O[Zn] MOFid-v1.ERROR.cat0;c7cc01063j2_ASR_pacman,[C12O25Zn6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][N][=N][C][=Branch1][Ring2][=C][Ring1][Branch1][C][=C][C][=Branch2][Ring1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N][=N][N][Branch1][Ring2][C][=Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][N][=N][N][Branch1][Ring2][C][=Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.ERROR.cat0;c7cc01063j2_ASR_pacman,18.21119,15.60206,18.19126,0.462869,3188.37,1504.01,3249.31,0.0,0.0,0.0,17357.9,0.8188,1.76897,0.0,0.0,3,unstable,unstable,1,3,C 2c 2,20,Zn,Yes,Zn,10.90217815,0.864453712,0.972914892,1.030791619,542,340.4,0.4945388,0.76,strong,strong&stable
2017[Zn][nan]3[ASR]25,[O-]C(=O)c1nccnc1C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.ERROR.cat0;XARCEB_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=N][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.ERROR.cat0;XARCEB_ASR_pacman,7.93576,7.66141,7.93576,1.31784,187.403,1152.58,874.601,0.0,0.0,0.0,818.497,0.5034,0.381989,0.0,0.0,3,unknown,unknown,1,3,-C 2yc,15,Zn,No,,11.94746963,0.831962604,0.91786988,0.978499698,108,285.5,0.9490335,0.521862455,strong,strong&stable
2017[Zn][nan]3[ASR]28,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[N]12[CH]N3[C]4[C]1[C]2[C]34.[O]P(=O)([O])[O].[Zn] MOFid-v1.unknown.cat0;XEKYUK_ASR_pacman,unknown,12.50662,11.26133,12.50662,1.35644,407.791,1161.63,856.385,0.0,0.0,0.0,2012.92,0.5734,0.422725,0.0,0.0,3,unknown,unknown,1,3,-R 3,148,Zn,Yes,Zn,15.93044073,0.726168846,0.803217908,0.865293397,180,334.5,0.7484515,0.62,superstrong_high_loading,strong&stable
2017[Zn][nan]3[FSR]21,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[N]12[CH]N3[C]4[C]1[C]2[C]34.[OH2][Zn].[O]P(=O)([O])[O].[Zn] MOFid-v1.unknown.cat0;XEKYUK_FSR_pacman,,12.50662,11.26133,12.50662,1.40757,388.511,1106.71,786.258,0.0,0.0,0.0,1923.75,0.548,0.389324,0.0,0.0,3,unknown,unknown,1,3,"-P 3 2""c",165,Zn,No,,15.02813642,0.755312515,0.840590071,0.895307545,198,330.4,0.808079,0.54,strong_high_loading,strong&stable
2017[Zn][sit]3[ASR]1,"[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])N.[Zn][O]([Zn])[Zn] MOFid-v1.sit,sql.cat1;GEFTET_ASR_pacman","[C6O13Zn3_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch2][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][N] MOFid-v2.sit,sql.cat1;GEFTET_ASR_pacman",6.40759,5.70897,6.17692,1.06257,933.442,1554.15,1462.63,0.0,0.0,0.0,3521.99,0.5864,0.551867,0.0,0.0,3,sit,sit,2,3,-P 2ybc,14,Zn,Yes,Zn,11.43792333,0.843064418,0.955122405,0.996596839,336,330.5,0.7260899,0.593076923,strong,strong&stable
2017[Zn][sit]3[FSR]1,"[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])N.[OH2][Zn][O]([Zn])[Zn] MOFid-v1.unknown,sql.cat1;GEFTET_FSR_pacman",,6.40759,5.70897,6.17692,1.0825,930.586,1549.4,1431.32,0.0,0.0,0.0,3472.74,0.5782,0.534135,0.0,0.0,3,sit,sit,2,3,-P 2ybc,14,Zn,Yes,Zn,11.25058437,0.851093517,0.964918541,1.008033238,348,321.5,0.60794854,0.662276923,strong,strong&stable
2017[Zn][sod]3[ASR]3,unknown,[C4O8Zn1_Type-1].[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][Branch2][Ring1][#C][C][C][C][Ring1][=Branch1][Branch2][Ring1][C][C][C][Ring1][=Branch1][N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.sod.cat0;MAPFER_ASR_pacman,14.89793,5.59896,14.89793,0.684243,2234.59,1642.27,2400.13,22.95,16.8668,24.6502,9198.1,0.676,0.987953,0.0,0.0,3,sod,sod,1,3,I 4,79,Zn,No,,7.4754784,1.074559124,1.155724381,1.236643157,750,312.5,0.37264162,0.86,strong,strong&stable
2017[ZnSi][pcu]3[ASR]1,unknown,unknown,5.61504,5.32569,5.61504,1.03737,781.153,1249.45,1204.44,0.0,0.0,0.0,3272.28,0.5234,0.504546,0.0,0.0,3,pcu,pcu,2,2,P 4ab 2n -1ab,130,"Zn,Si",No,,9.040736289,0.94886607,1.048519209,1.102827418,432,327.2,0.44946977,0.75,strong,strong&stable
2017[Zr][csq]3[FSR]1,[OH2][Zr]123([OH2])[O]4[Zr]56[O]3[Zr]37([O]2[Zr]28[O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)([OH2])[OH2])([OH2])[OH2])([OH2])[OH2].[O]c1c(c2ccc(cc2)C(=O)[O-])c2ccc3c4c2c(c1c1ccc(cc1)C(=O)[O-])ccc4c(c(c3c1ccc(cc1)C(=O)[O-])[O])c1ccc(cc1)C(=O)[O-] MOFid-v1.csq.cat0;ja7b09973_si_002_11_FSR_pacman,,29.73186,29.28279,29.73186,0.502145,3432.73,1546.98,3080.75,0.0,0.0,0.0,18177.9,0.8192,1.6314,4.43796,0.000398291,3,csq,csq,1,3,-P 2a 2bc,52,Zr,No,,11.68908539,0.80230223,0.895856102,0.949239031,558,434.5,0.9749818,0.88,strong,strong&stable
2017[Zr][csq]3[FSR]3,"Nc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])N)c1ccc(cc1)C(=O)[O-].[OH2][Zr]123([OH2])[O]4[Zr]56[O]3[Zr]37([O]2[Zr]28[O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)([OH2])[OH2])([OH2])[OH2])([OH2])[OH2] MOFid-v1.csq,xly.cat0;ja7b09973_si_002_7_FSR_pacman",,30.24732,29.15594,30.24732,0.497465,3309.05,1543.59,3102.92,0.0,0.0,0.0,17750.1,0.828,1.66444,0.0,0.0,3,csq,xly,1,3,-P 6c 2c,194,Zr,No,,11.50922452,0.807648412,0.902620528,0.963987947,558,424.6,0.9604934,0.79,strong,strong&stable
2017[Zr][csq]3[FSR]4,"[OH2][Zr]123([OH2])[O]4[Zr]56[O]3[Zr]37([O]2[Zr]28[O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)([OH2])[OH2])([OH2])[OH2])([OH2])[OH2].[O]c1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])[O])c1ccc(cc1)C(=O)[O-] MOFid-v1.csq,xly.cat0;ja7b09973_si_002_8_FSR_pacman",,29.92853,29.07679,29.92853,0.49175,3355.0,1547.12,3146.15,0.0,0.0,0.0,18029.3,0.8314,1.6907,0.0,0.0,3,csq,xly,1,3,-P 6c 2c,194,Zr,No,,12.02597213,0.809650753,0.899522727,0.962754848,534,432,0.9719398,0.86,strong,strong&stable
2017[Zr][scu]3[ASR]2,unknown,"[C8O24Zr6_Type-1].[N][C][=C][Branch2][=Branch1][#Branch1][C][=C][Branch2][Ring1][Ring2][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch2][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.scu,tty.cat0;HERHIY_ASR_pacman",10.52744,8.57486,10.52744,0.78001,1025.58,2412.82,3093.32,0.0,0.0,0.0,3051.88,0.718,0.920501,0.0,0.0,3,scu,tty,1,3,-C 2 2,65,Zr,Yes,Zr,12.32465136,0.770582648,0.867252217,0.92859492,162,341,0.89058673,0.94,superstrong_high_loading,strong&stable
2017[Zr][scu]3[ASR]3,"[O-]C(=O)c1ccc(cc1)C1=CC(=CC(=[C]1)c1ccc(cc1)C(=O)[O-])C1=CC(=[C]C(=C1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.scu,tty.cat0;HERHUK_ASR_pacman",unknown,12.47867,10.57036,12.0677,0.627322,1128.71,2127.16,3390.86,0.0,0.0,0.0,4116.53,0.7758,1.23669,1.06124,0.000318815,3,scu,tty,1,3,-C 2 2,65,Zr,Yes,Zr,12.37385383,0.771656441,0.862694127,0.926746643,162,327.1,0.8836576,0.94,superstrong_high_loading,strong&stable
2018[Al][nan]3[ASR]1,[Al].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH] MOFid-v1.unknown.cat0;NIRPAI_ASR_pacman,[Al1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;NIRPAI_ASR_pacman,6.76047,6.60235,6.76047,1.06537,202.56,1568.82,1472.55,0.0,0.0,0.0,729.507,0.565,0.53033,0.0,0.0,3,unknown,unknown,1,3,I 4bw 2bw,98,Al,No,,11.5053277,0.933380893,1.057599807,1.161727611,72,368.7,0.51051915,0.74,strong,strong&stable
